,topic_0,topic_1,topic_2,topic_3
CD74,3.5250598e-11,6.839485e-11,5.390824e-11,0.0075459485
HGF,1.588182e-10,7.2967793e-10,4.224817e-06,5.5978137e-07
ZRANB1,6.429191e-05,1.1898503e-05,3.9895247e-05,1.7666895e-05
NCDN,9.9814275e-11,2.1785895e-10,5.177502e-05,8.493e-11
ADGRA2,1.6899242e-10,4.934236e-10,3.8846916e-05,2.2268125e-06
ZFP64,3.8934963e-05,7.4286645e-06,8.563495e-06,3.5772646e-05
MNAT1,0.00020990711,2.3490304e-10,1.8368111e-10,1.4263714e-10
SAMD4A,0.0005511804,1.606401e-09,0.00039141538,2.9910874e-10
RUNX3,1.05459474e-10,2.5911293e-10,2.5436306e-10,0.00011273686
MRE11A,5.137191e-05,1.3870302e-05,5.825351e-06,1.0367137e-05
SLC7A9,5.4124685e-06,8.155065e-06,5.708332e-10,2.0514202e-08
SPAST,5.5107546e-05,3.3822056e-05,3.291284e-05,3.0201285e-05
NRXN3,0.00010275171,9.2484453e-10,0.00014900765,3.6777046e-06
OSBPL5,1.6108426e-05,2.31761e-05,0.000120477234,5.6911667e-06
AQR,6.167358e-05,3.8755148e-05,4.024517e-05,3.129079e-05
CPS1,1.7032469e-06,1.091666e-05,8.7760793e-07,1.2512068e-06
FHL1,3.0688178e-05,4.913649e-10,9.742323e-06,2.3997968e-10
RTFDC1,0.00033986103,7.0185524e-11,5.5301697e-11,2.7718744e-11
NLRP2,3.8759805e-05,3.5360234e-05,1.2752241e-06,1.7637467e-05
SLC45A4,0.00016972392,6.7221856e-10,2.1040834e-10,1.2877763e-10
RNF10,0.0004571163,1.7087359e-10,1.5861021e-10,9.004388e-11
ZNF839,2.8754603e-05,1.918205e-08,1.7154413e-07,3.6589079e-06
ZDHHC6,6.991401e-06,3.7358836e-06,9.2536875e-06,1.066521e-05
GRAMD1B,3.2966413e-10,9.128416e-06,4.0435254e-05,4.7069545e-05
RNH1,4.2400958e-11,0.0012845789,6.298714e-11,3.1544475e-11
NDUFS1,0.00026496564,2.3597e-10,1.8886946e-10,1.0946992e-10
RB1CC1,0.0003968438,8.300696e-10,8.555992e-10,1.1028186e-05
ERP44,4.2166965e-05,1.8098533e-05,1.7516308e-05,1.831285e-05
ALAS1,4.5551656e-06,7.0892042e-06,2.425049e-06,2.079725e-06
BIRC3,0.00043937142,0.00026301274,3.4809247e-10,0.00011486353
