topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31
CIITA,RP11-438L19.1,TTC9,AGO4,PIGA,SV2B,CTD-2007H13.3,HSP90AB1,KCTD9,POF1B,ANKRD23,SPON1,SRD5A3,TRIM5,RPL9,PARP16,COX20,POLR3F,RPL23AP49,ARHGEF15,IFNAR1,HSD17B4,RAB2B,RP11-360L9.4,CMTM7,ACTR1B,GPNMB,RICTOR,HSCB,GPT2,PCBP3,FOXRED1
GPM6B,AF131217.1,TRIM45,DSG3,BAG3,THOC5,LAMTOR3,PTRF,CAP1,LATS1,TSR1,PLPP1,SNX6,PNPLA8,NCAPH,ATG10,LINC01125,ESR2,PNPLA2,SYCP2,MAN1B1,EIF2S1,COG4,JAML,APPL1,PSMD14,CBX4,KCTD3,ZDHHC15,GK5,B4GALT5,FAXC
TTTY10,GRK4,ZNF91,COL4A2,ZFHX3,SLA2,LDB3,NDUFA6,GATAD1,KIF13A,ADAMTS13,AAMDC,OSER1,HEY2,FAAHP1,DPY19L2,APITD1-CORT,WDR93,LPAR3,ZMYND11,VANGL2,RNASEL,RP1-179N16.6,SPDL1,PGS1,TPRKB,GATAD2B,PKM,NOL10,SRGN,CDCA4,ARHGEF37
SSC5D,RP3-473L9.4,KIAA1551,CARS2,FA2H,USP5,SH2D6,CDIP1,ATP1B3,CTDSPL2,MOB3A,ATF2,ARNTL,IREB2,NEAT1,PIWIL2,IPO5,TMEM25,INPP5J,TRIQK,CD5,NMT1,EYA2,ZNF141,AC007563.5,PCOLCE2,ERICH5,EIF3D,NRSN2,ZSWIM5,ZNF528,ZNF699
IMPAD1,ANO9,CTBP2,ADAMTS8,CAP1,FAM53C,SPATA24,KAT2B,R3HCC1,HERC5,RP11-497E19.1,REV1,DDB2,TJAP1,EPHB6,SPG7,POLD3,STIM1,EPCAM,LYPLA1,OSTF1,STK32B,HVCN1,MCM2,SRD5A3-AS1,ANKRA2,ZNF334,EGF,FCHO2,ANO5,TAF5L,AC010967.2
NBPF9,TCL6,PCGF5,ISCA1,MATK,WARS,PIFO,PALLD,FGF2,SLC25A38,HADHB,IQGAP1,HOOK1,TAF8,LAMTOR3,CTD-2012J19.3,CEP128,SH3PXD2B,COX20,LLPH,PPP1R14C,PPP4R1,LRRIQ1,CCDC144NL-AS1,SLC7A2,CES4A,POTEKP,RAB5B,LINC00458,GTF2IRD2,FOXJ2,HMG20B
ZNF28,MRPL19,CBWD3,LMO2,FAM171A1,CASC2,PARK2,ZBED5,MEF2D,ADAM22,ZNF16,PPRC1,MTO1,NAA30,NDNF,LINC01578,CD276,ZNF286B,TRAC,CSNK1G3,SH2B2,NDUFS2,PSMB7,DGCR14,FRY,RPL23AP49,LINC00892,SIK2,LINC00894,WASF2,WDR62,PXN
TXNL4B,ARL10,AGAP9,SERPINE2,A4GNT,ZFC3H1,ZNF527,NUP37,GRIP2,BPNT1,SPACA9,CSNK1G3,LACE1,PMM2,APOC1,NIPAL3,BCAS2,SLC9A1,GYG2,MARVELD2,SMYD4,ARL5A,ANKRD6,ELF1,CADPS,RP11-83A24.2,AC073283.4,TXNIP,NRDC,ST3GAL2,ZBTB5,CD40
POMT2,MAPKAPK5,PIGQ,MRPS9,ACTR2,BAHD1,MDS2,LUZP1,MRPS35,LINC00843,ALAS1,PTPRD,KCNK1,FAM134C,ERCC6,MAN2B2,BCL2L12,CDC45,ZNF92,CNIH1,METAP1D,LONRF3,TMA16,LINC01004,LGR4,TMEM94,AGPS,ZBTB25,CCNT2,STAC3,C1orf159,SUSD1
SCTR,CDKN2AIPNL,SLC4A7,CKAP4,DENND4A,EML4,CLPP,RUSC2,DAPL1,CYP3A5,ZNF404,HNRNPK,USO1,DOPEY2,CCDC114,ZNF85,TLR2,VTI1B,LINC01608,SEMA5B,SMG1P7,TPRN,C9orf24,CDH26,KLF8,KIAA1147,GALC,RAI2,CHRDL1,LINC01504,EHD3,PPCS
ST6GALNAC5,TMED11P,AP3M2,KIAA1033,RP11-697E22.2,RMI1,VAV3,AKT3,PNPLA7,BRD3,EXOC6B,COL22A1,CLTC,PRUNE1,VAX2,HYAL1,RPRD2,ZDHHC23,FAM110A,ITGA4,PITPNM2,TMEM187,SARS,RP11-498P14.5,FAM199X,EPHX2,FAM114A2,CRIM1,MDM1,CD244,PICALM,HUS1
DHX8,TRRAP,CTSC,VPS36,ZC3H15,TBCCD1,ANXA3,KCNC4,ATP8B4,FAM53A,SUN1,UVRAG,SELENBP1,ZNF687,RPL12,MSANTD2,TTC8,BRI3BP,PSMB3,MBOAT7,SCNN1G,ZNF70,HACD1,NRK,ZNF837,FAM76A,TSG101,KLHDC2,CNOT6L,IRF5,PKHD1L1,PLA1A
DAPL1,ROCK1,ARSB,GATA4,NEDD8-MDP1,CYB561D1,HSPD1,CLK3,CXCL13,LILRB4,C19orf68,ZNRD1ASP,TMEM108,SLC16A2,RP11-122G18.12,STAT5A,SRSF10,ZDBF2,H1FX-AS1,FAM83H-AS1,NAA25,VEPH1,ETV1,KIAA0319,GAS7,POLA1,N4BP2,FAM149A,VMP1,MAU2,MYPOP,LRRC37A3
NOVA1,ZNF876P,PPP1R3C,VPS45,TBX18,TPX2,MIGA2,SNCA,CWC15,ZFAND6,SGO1-AS1,PTOV1,FEM1C,CNBD2,SH3BGRL,EAPP,AC069277.2,AC097724.3,GTSE1,PALD1,UPP1,MDS2,ITGAM,PEX26,WDR89,CORO2B,RBM23,GS1-24F4.2,AK6,EML4,ZNF232,HKR1
FAM174B,PDXDC2P,ZFP14,RALGPS1,ADA,WBP4,ULK4,LARP4,PSMG3,ADD1,TMEM209,AFTPH,TAF5,ME3,CUL4B,EPSTI1,ASCC2,DCP1A,TTC3,ASCC3,TOB1,FAM200B,A2M,SIAH2,PLPP2,IGSF21,CDKL1,LINC00992,MED15,ACOT11,GS1-124K5.4,RP13-188A5.1
AC006547.13,C2CD3,HEYL,FAM129B,CH507-9B2.3,AGPAT5,CTC-559E9.6,ATP2C1,RP4-537K23.4,SH3GLB1,CCDC47,LCP1,ITPRIP,EPG5,SCNN1B,MKRN1,RAB22A,ALAS1,SRRM2-AS1,TM2D3,PCBD1,AF186192.5,PHF12,CBWD1,LINC01242,BACH1,COTL1,ZNF428,SUPT6H,TNFSF15,NUDT7,TARID
HLA-B,ZSCAN29,FANCB,CDK5RAP2,CHCHD2,MTMR10,SYT13,RAC1,NEU3,RUBCNL,KCTD16,ZNF687,CCT5,CHD1,PMEPA1,LRRCC1,ADAMTS8,PEX1,PLK4,NDUFA10,C12orf10,AC131056.3,EP400,ZNF74,ZNF483,VCAM1,FAH,DHX30,CAAP1,BICD2,ZNF578,CCDC88C
SLC24A3,AVL9,TRIM69,TMEM261,TMEM53,ARID5A,VAMP4,RMDN3,NQO1,TJP1,RRBP1,TUBE1,TEX30,CCDC144B,TAF9B,CARD14,SIDT2,ZNF600,KCNMB2-AS1,NOL11,KCNMB2-AS1,RP11-900F13.3,MNX1,CDC42EP3,NOD1,PRRT3,CEMIP,FLOT2,LDB3,ZNF627,LAS1L,RUFY3
MORF4L2,PALMD,HS3ST1,CD72,TBCB,RTFDC1,HTR5BP,GON4L,TFEC,THRA,SH2B3,SNX9,ANKAR,VOPP1,INPP5F,C9orf72,NCK1,C5orf51,HINT1,RPL7L1,HEY2,HGD,CSDE1,PLK4,HMBOX1,MFSD8,IL27RA,GRHL1,IL33,FOXRED1,AURKA,SLC35C2
HNMT,SEC24B-AS1,ARSD,FHDC1,GATA4,TRAF3IP2,STRIP2,NAA50,MGST3,TPST2,PITPNM3,CLEC17A,PTPRR,SMG1,CD9,MIPOL1,MLXIPL,RP11-624L4.1,GUCY1B2,TOB1-AS1,SEC31A,NLRC5,SPINK5,NARF,PAAF1,CHST11,ZFAND5,LEF1,G3BP2,VLDLR,C1orf132,SETX
AGR2,ZBTB24,CD6,NUMA1,VDR,ZNF423,GOLT1A,OTUD3,GUCY1A2,TNS4,MRPL18,POLA1,HSPA13,SLC34A2,ORC6,FGD5,TMTC1,IFI35,NSL1,NOM1,MEIG1,PICALM,KIAA1549,TMEM116,FGFR1OP2,ERC1,PRDM4,GNGT1,JAZF1,RRAGB,POM121,SMG7
CAND2,HS2ST1,CAPN1,PREPL,ABCA3,TJP1,OAZ2,HEXDC,DCAF17,RNF157,SH3BP5L,ARL14EP,C21orf58,PRPSAP1,HSPD1,BATF,FANCD2,SIGLEC1,SNRPD1,POLH,TMEM9B,KIFAP3,SERPINB6,AQP4-AS1,FBLIM1,CYP2C9,PPM1H,ZNF282,FCRL3,PILRA,LEO1,RHBDF2
FNBP4,ZNF613,MON2,MYOF,KCNJ6,INO80D,ATG16L1,GFPT1,COX7B,SDE2,ZFR,CNOT11,ANO10,USP1,ELF3,FDXR,CWC22,VAT1,POC1A,RBBP8,CERS2,ULK2,PCAT19,FASTKD2,TFF1,ABR,GCNT2,MLF1,AZGP1,USP37,RNF182,CDC42SE1
APBA2,RPAP1,ST6GALNAC2,CEP55,ABHD3,SNRPE,DYRK1B,MAP3K4,CSF1,PTPN7,TRIM9,SART3,SNED1,SGCB,IQUB,SLMAP,SLC20A2,MAPK10,RRP7A,UTRN,TBX18,C14orf105,PARP14,RPS24,MALSU1,SPRED1,NCL,BICDL1,GMEB1,CTDP1,SLC25A43,ATP5SL
C4orf46,RSPH14,FAM135A,FAM13A,ANKS6,DNAJB13,PEX7,CDC42SE2,IKZF4,NDUFB9,ZNF766,IL27RA,FAM84A,STT3B,BCL2L1,PPID,PRR3,USP5,HFE,SLC4A2,EGR1,RAB2A,RP11-7O11.3,DNAAF2,STYK1,LSAMP,SRM,MPV17,IQUB,TNS3,WASF2,VIPR2
STAG3L3,COL28A1,TTC28,HERC6,CACNB1,JADE1,FAM3B,SACM1L,CYTH1,NPNT,DYNC1H1,NUP43,KCNJ3,CXCL3,AK7,TOMM20,SCAF8,IGFBP5,PGLYRP2,MRPS22,RP11-588G21.2,SPINK4,ZNF92,SNED1,GTF3A,COL4A5,CYSTM1,SHROOM3,FZD6,RP11-112J3.16,CARNS1,FANCE
FAM66C,ZNF649,FAM83D,G3BP2,SLC44A4,CTH,HSF1,CCNH,EGFLAM,SDC2,KRT8,NRBF2,PACRGL,SPDYA,MBP,FLJ40194,RRAGD,KLRC1,RP11-162D16.2,APOBEC3A,RP11-467J12.4,LGR6,TPP2,AVPI1,IFNAR1,TMEM242,UBA1,CSRP2,TEF,SYT11,CEP350,HPCAL1
HERPUD1,COQ7,SLC35F5,B4GALNT3,RP11-154D6.1,DESI2,BCAP31,KRBOX4,ARL10,HEXDC,NASP,FAM81A,DCAF16,QSOX2,PCYOX1,PRKX,EIF2B3,PTGES2,ZNF350-AS1,COL27A1,FAM66C,LRRIQ1,MRPL48,NWD1,LAMB2,PPP1R12B,KIDINS220,ARID3A,HECTD4,PHYHIPL,ICA1L,KCNN3
HNRNPD,ATAD2,BCAS4,PRICKLE1,RP11-528G1.2,NGDN,L3MBTL3,MOV10,CH507-9B2.3,LDB2,FAM49B,ZNF714,LRRC58,KIAA0430,TMEM144,FAM221A,POLE2,LINC00467,PCDH19,PNCK,PMS2,AZIN2,COPB2,CSGALNACT1,NFIX,IQCE,DCAF7,FAM124A,ZNF404,LINC00299,MIR3142HG,RSU1
CCDC8,MAP3K7CL,KLHL8,TCHP,NINJ2,FAM167A,TSN,CXCL16,GRK3,SLFN12,NABP2,RAB33B,MTMR14,ANPEP,ATP5J,ZNF565,DHX40,TTC8,MEIG1,SEPT2,SWSAP1,TIRAP,PCBP2,DDX11-AS1,PHGDH,PARP11,LOXL4,FBLIM1,PPIA,RP11-412D9.4,DOCK9,PTPDC1
TUBA1C,ANKRD36,GFRA1,SLC46A3,LRMP,KIAA1551,ZNF845,SP1,LZTS3,LCORL,RPS9,LYSMD3,GFM2,FAM102A,YBX1,ATG9A,DUSP22,ZNF248,MIR3142HG,ZNF699,C19orf57,SDHAF4,BLVRA,INHBA,ABCC6,PKD2,GAREM1,MAP1LC3A,LINC01128,HDAC4,THAP3,AIM2
SNCA,C21orf62-AS1,GOLGA2,ESYT1,C19orf43,ARHGAP45,URAHP,LPXN,NDUFA5,BTBD7P1,PPP1CC,SOCS2,TMEM184A,MRPL58,LAD1,ZNF826P,KIAA1257,MICB,RPSA,C17orf67,MAEA,LARP1,TBX19,EMB,SSU72,NARS,CPLX2,TUSC3,RP11-469A15.2,VDAC3,GMDS-AS1,AKR1E2
SLC26A3,ZBED8,SPRYD3,SYT16,FAM210A,ZNF98,FOXJ2,CKAP4,ANKLE2,NUDT19,LINC01290,RBBP5,SEMA6B,KIF5C,UBXN7,WDR73,PPM1G,LINC01290,HLA-B,NSFL1C,NFKB2,C10orf35,PTN,TXNL4B,COL23A1,POLG,ASTN2,NBPF9,LINC00899,SAT1,ZNF699,NIPSNAP1
C2CD2L,AC072062.1,BASP1,WARS,SRRM2-AS1,KATNAL1,ERRFI1,C22orf34,AFF3,RP11-631N16.2,NELFA,STMN1,METTL7B,SYNPO,TNFRSF1A,NCOR2,GATAD2B,IKZF2,RP11-677M14.3,FLT1,ATP1B2,SERF1A,GSPT1,MED18,ZFP90,HMGCLL1,OTUD6B,C16orf62,RP11-1212A22.4,LY96,PSAT1,GATC
FAM150A,FAM71F2,DDX10,MFAP1,ISPD,DMTF1,HMGN3,HLA-DRB1,TRIM21,BRAT1,SLIRP,AC007319.1,PHYHD1,SERF1A,TCEB2,SUPT20H,EPHX1,RFX2,RBM26-AS1,RCL1,FCMR,CHID1,C19orf43,SPPL3,RP11-624C23.1,KCNJ15,FBXO32,HEATR5A,TRIM26,MCRIP1,AC018647.3,GPBP1
MAP1LC3A,VMP1,APOD,DUOX2,FNDC4,AP1AR,THEM6,NCS1,MESDC1,SERTAD2,PDHA1,RP1-101K10.6,WSB2,SMAD2,UQCC3,KPNA1,TRMT10C,ZNF718,SPARC,SPINK4,LINC01359,CXorf38,SLC25A25-AS1,RP11-114G22.1,TNFSF11,SLC25A25-AS1,C2CD2,MIR3142HG,CCS,LINC00961,CASP9,ERP29
ZNF454,CDH22,PKHD1L1,ETFA,C21orf33,STAP2,NUF2,GXYLT2,JAK2,KRTAP5-AS1,KCTD6,PRH1,METTL23,MRPL48,SMPD3,SMO,ATP2C2,RP5-991G20.1,CHIT1,APOL2,EIF2B1,AC097374.2,PRIM1,KIFC1,PFKFB2,EGR1,FAM46B,KIAA1147,FAM43A,FHL2,RP11-432J22.2,PPP6R3
TWIST2,SPRED1,FCGBP,NUDT7,XIST,LRRK2,COX6C,TMEM173,FAM160B1,NUP98,DTX4,LRRC4B,MRPS23,ZNF383,SLC44A3,GALNS,EZH1,CDC27,TOMM7,ZXDC,TRAF5,LINC00261,DNAH6,TMEM143,DIP2A,NBAS,ZNF235,MGST1,NEK5,KCTD3,RP11-637A17.2,GRIA2
DUSP16,TMEM184C,PIAS1,GAREM1,ACTR3C,SORBS1,CYP4X1,RP11-24F11.2,CCDC141,INSIG2,SPINK1,MORF4L2,UTP11,ZNF257,EDNRA,TBCD,DUSP3,FAM120A,KPNA7,AXIN1,MS4A4A,MMP25-AS1,DFNB59,FAM71F2,RP11-79N23.1,RP5-1159O4.1,CLASP2,SNRPD2,RP11-356J5.12,RANBP10,IDUA,RNF25
GARNL3,PXMP4,PRPF31,SMAD4,PSD4,FHL5,CHM,HSPA8,RP11-742B18.1,SNRPG,P4HB,PRR12,KCTD16,ERO1A,LUM,SLC47A1,PRDM4,DHDH,PCOLCE2,SCAMP2,CLDN1,CIAPIN1,FRAS1,TRIM9,ZFYVE9,RRAGD,LZTFL1,TMEM63B,LYRM2,KALRN,ERMARD,CLMP
FEZ1,FAM76B,SPTBN1,FKBP10,YWHAZ,PLEKHB2,RP1-27O5.3,PNLIPRP1,SLIT3,USP28,PTPN21,CALU,C9orf66,NOTCH4,CNTD1,RPL7,CLEC2B,FILIP1,SLC4A4,TM4SF20,PSMD12,CYTH3,FAM45A,NOTCH4,TRAM1,ATRN,IFT122,SNRNP35,SMAD7,TRUB1,USP5,STX8
ZNF440,RNF169,TSHZ3,SH3GL1,WNT2B,ESYT1,ZDHHC6,TUBGCP2,PPIEL,SMIM8,TRPM2,FBXO25,BRWD1,RP11-162D16.2,C1orf43,MSX1,ERGIC1,LRRC39,RAC1,TMEM126B,PRKY,SLC24A1,RPUSD2,ACAP3,EBI3,LYRM1,ADCY1,C5orf66,PRKD2,RP11-15E18.1,KIF2C,ATG9A
ZNF460,ZNF837,AHDC1,SCYL1,RP1-101K10.6,SON,MTHFD2,ATP5J,BSPRY,RP3-508I15.9,ZNF337-AS1,B3GAT3,MTF1,LINC01503,DYNLL1,ZNF507,RASSF8,STARD8,GART,LRRC40,RPE,SSH1,BSG,CTRC,ZNF14,GBE1,ABTB2,MYO1E,BFSP1,ERICH1,RP11-469A15.2,PISD
FKBP8,ZNF33A,TRPM4,SAE1,ZNF397,ARHGEF10L,CD99L2,RNF19B,TUG1,MPG,SERF1A,FLRT2,MBP,RP11-588G21.2,AC010127.3,COL8A2,MAP1LC3B,MDH1B,TEFM,UBA2,MTPAP,ICAM2,USP8,SNX11,PPP4R2,PTBP3,CCDC8,ADCY9,PCBD2,LAIR1,CTD-2666L21.1,LIFR-AS1
QRICH1,LRRC39,ZNF714,CELA2A,TSPAN4,GNB1,TCEB2,LINC00511,EIF3M,LRRC41,ITGA6,ACADSB,COLGALT2,LINC00989,MRAS,ZNF383,NOTCH1,QTRT2,CORO7,C10orf11,UBASH3B,PPP1R1B,LINC01420,TAF11,USP34,GPATCH11,FAM131A,GNPDA1,DDX60,C12orf49,UBA6,CDK11B
POU2F1,SSH1,APBB1,PLK4,FCER1G,GSPT1,SUCLA2,TMEM30A,FAHD2B,DHX34,PIH1D2,TECPR1,DDX3X,TUG1,CFTR,RPF2,MUM1,SPRED1,RP4-724E13.2,UBASH3A,GJC1,GATA4,HSD17B4,SDK2,MAX,MYOM2,TCP11L1,CEP350,UHRF2,SIMC1,DENND4C,FOXJ2
CHMP1B2P,LENG8-AS1,STK32A,LMO4,TPD52,MED31,ADCYAP1,H2AFY,NINL,VASH1,SYP,LINC00926,AC068282.3,AF186192.5,CTD-2054N24.2,SUZ12P1,SLC4A1AP,WEE1,VMP1,BORCS5,ZBTB37,SECISBP2L,HMGB1,LGR6,FAM81B,ATG16L1,RNF152,PAK6,PTDSS1,RP11-467J12.4,C19orf52,SNX5
POLB,LINC00649,WSCD1,SNX27,NEK3,DGUOK,XRCC4,AHI1,WDR75,ADAM23,SCYL3,CTD-2007H13.3,SHISA9,RP11-30K9.5,ZNF774,RNF126,USP49,ALOX15B,TTLL10,ZNF615,PSMG3-AS1,SEPT11,ANKRD13D,KLHL28,TERF2IP,C19orf47,ZFP90,ABI3BP,UBE2L6,MICAL2,HIVEP1,GNAI2
SMOC2,GAB1,GCLC,ACP1,MED29,ELK1,ANKRD11,KIF7,MARVELD3,FBXL12,PEF1,FBXL2,LINC01091,RP11-403I13.8,MOSPD2,TMEM14A,PDHB,ADA,ZDHHC21,HLA-DPB1,CTD-2192J16.20,MCMDC2,LMF1,FHL3,IL17RE,MAPKAPK2,CHAMP1,ATF6B,SHKBP1,MAP3K8,FAF1,GPD2
TRAK1,FAM49A,KIAA0141,PTPN7,TMBIM6,ACLY,TRAPPC11,GLTP,DPM1,INTS12,ZNF226,LINC00937,RP11-779O18.1,ZNF2,GAL3ST1,SGK1,RUVBL1,ENPP1,EEF2,SLF1,NDUFB2,HEATR4,NTPCR,CAMSAP1,CHMP4C,NSG1,PTPN20,UBE2Q2,MEGF6,CEP85L,KCNQ3,DCP2
KIF3A,EDA,ADAMTS2,MEIS1,CLNK,C1orf43,SNRNP48,SLC17A4,TMEM258,U2AF1,COMMD6,NFKBIB,MRC1,C12orf4,CD63,PROSER1,ZNF699,COPS8,RP11-250B2.3,HINT1,TBC1D14,NOL4L,TMEM123,NLK,NINL,MYPOP,ZNF702P,SNRPG,VCP,RP11-187C18.4,PPP2R1B,TEKT4P2
TPR,XPO4,HECTD1,RBMS3,MYL12A,CHKB,LRRC28,ARPC5,RP11-30K9.5,AKNAD1,VAX2,WARS2,RP11-166P13.3,FBXW7,PNPLA7,BTF3L4,SPRED2,CREBBP,CCNL1,RP11-295K2.3,CDIP1,ZNF468,AIM1,CYP2D7,ARNT,ROR1,RP11-514O12.4,KIF21A,NBR1,ADAMTS6,VSIG1,MAP3K10
STAM2,ZGRF1,ALDH5A1,SLC25A26,FARP1,UNC5B,FMNL1,SRL,WDR34,XXYLT1,STRN,CDO1,RASSF5,SMPDL3B,AARS,ATAT1,AP5Z1,BRD7,CTB-179K24.3,SPTY2D1-AS1,HP1BP3,GS1-24F4.2,CLSTN1,ATP8B3,CDNF,FAN1,SLC6A14,GUCY1A2,HDAC2,TFDP2,SLC41A1,ANKRD6
LAMC3,RP11-1000B6.8,DDX39A,SRPRB,MAF,TRIM8,ARHGEF15,PIK3IP1-AS1,SMARCD1,ZNF329,ABHD2,DHX57,MRPS21,ANKRD52,GALNT14,NARS2,GTF2IP12,THBS3,TMEM123,QSOX1,FUT11,ABCC8,MYO1B,LINC00672,SH3YL1,LINC00240,CTD-3131K8.2,ING5,ZNF658,FAM134A,DPH1,NUP35
AMDHD1,CRTAC1,PANK2,SSBP2,HS3ST1,ZNF395,RAP1B,FBXO48,SLC15A1,NHSL2,VSTM5,CMTM8,SERTAD4,IGF1R,ATP1A1-AS1,CDYL2,DOCK3,STPG1,RPS12,FIRRE,RP11-210M15.2,SEC62,SAFB2,UBE2R2-AS1,FBXO46,FILIP1,RRP12,PEMT,SAMD4A,PDE3B,MED31,SPATA33
PDIA6,LETM2,SPTLC1,GTF2H2,AC006273.5,NUDT19,PCNX2,LMBRD1,TAX1BP1,CTC-340A15.2,CH507-528H12.1,CSRNP3,MYBL2,SEC11A,LANCL2,TSR1,DHX15,PALD1,CUL4B,SESN1,RPS6KB2,ATP1A2,HNRNPU,FAM20C,TCF7L1,ATP6V0E2,ZNF446,NPDC1,ALPK1,NEMF,KIF3A,SLC6A9
RP11-428J1.5,LURAP1L-AS1,GDPD3,FBXL17,IL6,RP1-78O14.1,IGF2BP3,OSBPL5,VCL,RP11-588G21.2,PTGES3,C4orf46,SLC7A6OS,CERS2,OSTC,MAT2B,FAM129A,CD160,AC002454.1,ANKMY2,BIRC5,MYH7B,DDX52,COL6A2,TCEA1,BTBD8,CCDC80,PHF20,SMARCB1,ARHGAP23,CFLAR,RP11-680E19.1
TDRD9,PDCL,MTCH2,ATG12,AKNAD1,SLC5A1,NCOR1,AKNA,KLHL5,CTD-2288F12.1,STK32B,RP11-399K21.11,STEAP1B,WHAMM,ST13,EIF2AK1,EGF,NT5C3A,COPRS,DPH5,ELOVL2,TPX2,MPP3,DEPDC1,EPHX1,RP11-488L18.4,MIER2,INHBA,RP11-640N20.6,EIF4G3,PDZD8,KANSL2
RPL36AL,LINC01273,FAM20B,YIPF5,PIK3CD,PRKCI,CLMP,PLA2G5,CASC1,SLC4A8,RPL27A,CH507-528H12.1,TFAM,PTPN9,RP11-713P17.3,OGFOD1,FCN3,TNFRSF19,ORC5,RPL21,CADM1,CDV3,NDUFA2,SEC31B,VSIG10,LINC01278,SOBP,TOB1-AS1,ADAMTS6,CDKL1,ALOX12-AS1,C3orf67
BUD31,ZNF341,RFTN1,ZNF300,EIF3M,POLE,NPR1,KLHL32,CUL4B,TBC1D22A,SECISBP2,STK32A,KNSTRN,GRIK1,FAM168A,L2HGDH,LARP4,INHBB,NCKAP5,MORF4L2,DCP1A,TFCP2L1,CDC25C,RP11-703M24.5,MBP,FAM171B,ITGA4,HADHA,HTATSF1,ISM1,CCDC159,SNTB2
RP11-819C21.1,GPN1,PSME3,ZMAT2,CD9,APOO,CTNND2,GUSB,CACNB2,SLC26A3,PSMD2,TEAD2,SH2B2,TLCD2,CLUHP3,ANKRD10,SLCO3A1,C2orf76,SERF1A,C3,CTSO,ATG14,FAM168B,SNTA1,CYP1B1-AS1,SFMBT1,FCF1,PRCC,PSMD7,SRCIN1,LINC01362,ZDHHC17
MDM1,HCG14,ERN2,RNF44,RP11-484D2.2,TECPR1,RP11-458D21.1,NDUFA12,TRAF3IP2-AS1,MSH2,SH3BGRL,MEF2C,FBXO46,AIDA,KRT19,MTMR3,PHF2,ZNF503-AS1,DEUP1,CKAP4,POLR1B,MTX2,ZNF2,UHRF1BP1,SPEG,FRMD5,KIAA0922,AC068831.10,UBL3,DNAH14,AMPD3,TRMT13
IGF1,EPB41L4B,GRHPR,PHIP,MTM1,LINC00205,WDR37,ZFAND5,DAPK2,H2AFY2,TSEN2,CERS4,ZNF600,CCNT2-AS1,WAPL,RCL1,HIBCH,CTA-292E10.6,ACTA2,DALRD3,NTRK2,TIMM17A,CCDC120,OBSCN,HLA-DRB1,PIFO,ANKRD17,U95743.1,DCAF7,PHF3,MYBL2,AHDC1
FAM168B,UNC50,PI4KB,FAXC,RP4-613B23.5,RP1-111C20.4,ASL,LAMA4,GALNT18,ARL6IP5,PSMG4,CDC25B,COX10-AS1,KLF3-AS1,XXbac-BPG154L12.4,LYPLA1,RP11-673E1.1,AATF,RP11-216B9.6,MIR99AHG,SHMT1,NAT10,TRPS1,SCHLAP1,GPSM1,FES,EPC2,TMPO,AGPAT3,SCAF11,UBE2R2,LLPH
EFNA1,POLR1A,CKMT2-AS1,SHPRH,MBOAT7,TESC,SCEL,SQRDL,PERP,NPY1R,SLC26A11,PHYH,PNPLA6,JARID2,GCC2,ATG4D,RP11-326I11.3,PLK1,PIWIL2,RP4-541C22.5,VPS13C,ABCB10,S100Z,DCAF16,CYP4F23P,TOPORS,GJA1,MTUS2,PCOLCE2,CPM,PIAS3,NARF
CD46,NHLRC3,RP11-187C18.4,GBAS,GAREM1,DLD,RPL7,CADPS2,ZNF470,PAK2,PJA2,DNAJC8,MON2,MVP,MYL12B,PEMT,C1orf112,TSNARE1,CALM1,WDR59,SMPD1,FAM8A1,BCAS2,RPS12,STARD3NL,ZDHHC8,LRRC36,DZIP1,ALCAM,NR4A1,ERICH6-AS1,TNFRSF11A
FGFR1OP2,TRAM2,FOPNL,RPL7,S100A2,CPPED1,PSMC2,PMM1,CALM1,STK39,NFKBIA,TUBGCP6,NEO1,FUT8,COL18A1,SYT16,PDPR,MKS1,ARHGEF26-AS1,DPCD,SRRT,LMBR1L,HINT1,RPF1,CFH,CCDC92,NEMF,ABL2,PFKFB3,TEX10,AC005682.5,RAB3D
UBE3D,ZSCAN16-AS1,MRPL9,MTDH,LAMTOR4,SLC51B,SNAPC4,S100Z,HAND2-AS1,CFAP44,INHA,NCEH1,SIRT2,MRI1,RP5-1024C24.1,RNF144A,BMF,GATB,PLEKHF2,MORC2,ZNF90,LRSAM1,DCTN2,ZNF837,RNF168,MCCC2,ENOX2,EXOG,TEFM,TMX3,CTD-2377D24.6,GOLGA3
PNN,LHPP,TNKS1BP1,FAM13C,DIXDC1,CCNK,CD3D,DOCK10,SLC24A3,LINC01550,ZNF273,CNTROB,KIFAP3,TNIP3,APP,SAMD8,SH2D4A,DAZAP1,ZFP2,CD53,EXTL3,FAM167A,MIR99AHG,TOMM7,PAPOLA,BAAT,SLC23A1,MINPP1,TTC3,RAP1A,PSTPIP2,ZNF674
