,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
KCND2,3.090759e-10,1.6320096e-09,9.136724e-10,9.50078e-10,2.2608477e-09,1.9025241e-10,1.5155209e-09,0.00039962324
TOP1MT,9.610941e-06,7.905551e-09,2.4524194e-05,1.690869e-06,6.1973315e-09,2.6149899e-05,9.909581e-09,1.7539992e-09
COPB2,1.211227e-10,0.0015893974,2.2257997e-10,6.2964196e-11,2.3217075e-10,1.1392605e-10,2.7153663e-10,1.3311788e-10
KNTC1,6.9867725e-05,8.677836e-08,3.0183171e-05,5.120895e-06,5.5595056e-08,1.2039092e-05,5.6014425e-08,1.8577444e-09
NCMAP,1.2226305e-10,3.8080414e-10,3.663401e-10,8.576068e-11,3.4392553e-10,0.00050105725,3.9444342e-10,1.6692232e-10
TXNRD2,2.8367856e-05,2.0453848e-07,1.3876587e-05,3.371136e-06,8.9020105e-08,5.5996617e-05,2.1524559e-07,3.3273062e-09
TMEM255B,8.901611e-10,1.3493728e-09,3.9783746e-10,2.0935831e-10,1.1242371e-09,1.5343882e-10,1.4191618e-09,0.00012898944
PROS1,2.5034135e-09,2.3261038e-07,4.894645e-05,4.709789e-10,2.560241e-08,2.8166183e-09,7.399971e-06,9.912484e-05
BEX5,3.8787734e-10,2.7234635e-06,1.8406277e-09,1.9756972e-06,1.6012033e-06,1.4711001e-05,7.2694525e-07,1.9431758e-08
ZFP1,2.6768517e-05,5.784746e-07,1.1378149e-05,1.8837354e-06,1.0265522e-06,2.5827772e-05,9.332418e-07,1.3731999e-05
LPAR5,1.652566e-05,1.8373201e-09,1.11743475e-05,7.3672805e-07,1.3744288e-09,5.7447036e-10,2.1445405e-09,4.8170024e-10
XPOT,1.8041183e-05,3.0377576e-05,7.045849e-05,1.5066096e-05,2.7169584e-05,4.272201e-06,3.5288645e-05,2.7295282e-05
TMEM173,7.5677756e-11,0.0011822111,1.074005e-10,3.6797232e-11,1.3781504e-10,5.6438482e-11,1.5963088e-10,8.3408606e-11
PDE4B,0.00045685895,3.4922898e-10,2.1680191e-10,1.1559571e-10,3.0221461e-10,9.075634e-11,3.6412554e-10,2.0038741e-10
NELL2,0.000108067004,3.3643557e-10,2.1167752e-10,1.4580594e-10,2.8613378e-10,1.03017095e-10,3.5164724e-10,1.6097958e-10
KRBA2,1.6075959e-06,5.186726e-08,1.6628217e-08,2.5080745e-08,1.0709929e-08,1.8461638e-05,5.485293e-07,8.376714e-06
MED12,2.0850324e-05,7.2065203e-09,1.3816601e-08,3.471154e-07,5.1743227e-09,3.2716453e-06,7.984092e-09,1.1179043e-06
ZNF93,7.2012695e-06,2.174169e-06,4.920463e-06,1.4449535e-06,9.3214055e-07,1.044054e-05,1.3616765e-06,2.7280385e-06
SEPT9,2.6241492e-10,4.9638665e-10,0.00020451285,1.15431116e-10,4.386876e-10,3.0962286e-10,5.373416e-10,0.0024196722
CDCA2,8.567555e-06,8.200521e-09,5.859042e-06,5.903063e-10,6.3456524e-09,2.1833109e-10,6.7760753e-09,7.1370276e-10
OR7E14P,2.078115e-10,8.55436e-10,9.1211805e-05,1.6629662e-10,7.677079e-10,6.460038e-05,9.0919416e-10,2.825344e-10
RALYL,1.2860876e-10,4.0143985e-10,3.1241992e-10,8.365684e-11,3.6106457e-10,0.0016030148,4.1287518e-10,1.7093163e-10
ZBTB40,2.9116509e-05,2.9992773e-08,5.188032e-06,2.7467693e-06,1.4135649e-08,2.2741557e-05,3.4559545e-08,4.3127746e-09
RNLS,2.0560437e-05,4.406619e-09,2.66104e-09,7.699554e-06,3.9398644e-09,0.00020056391,4.633175e-09,1.353097e-09
ATL3,9.0347015e-11,1.8946805e-10,1.3208874e-10,4.5535336e-11,0.001136504,6.912587e-11,1.955626e-10,1.0417061e-10
NDUFA12,6.44501e-11,1.4487256e-10,1.0069388e-10,3.3737936e-11,1.2916336e-10,5.5823422e-11,0.004830305,7.727096e-11
SMIM10,2.9268915e-10,5.2852607e-09,4.309171e-10,6.031144e-10,4.256284e-08,8.335588e-09,3.6199015e-09,7.651692e-05
UBE2G2,4.624431e-05,2.4257948e-05,1.5275911e-05,7.27887e-06,2.1209473e-05,4.0529725e-05,2.676428e-05,4.3815897e-05
OSBP2,9.294407e-06,6.4178822e-09,0.00011508567,1.5530973e-06,4.8977076e-09,9.986342e-05,9.7433395e-09,1.5429527e-09
APOO,3.3540036e-05,6.134341e-06,3.5262274e-05,6.684182e-06,5.6730246e-06,4.915091e-05,5.3342756e-06,4.3428376e-09
PRR16,5.78381e-10,1.0001175e-09,3.3616745e-10,5.807998e-10,9.735661e-10,1.170092e-10,9.708089e-10,0.00019055132
TMED9,7.053189e-11,1.5601515e-10,0.0009047434,3.6754162e-11,1.3958724e-10,6.0285645e-11,1.6110122e-10,8.305221e-11
RBM33,0.0006554133,2.2425863e-09,2.4572912e-05,3.4272472e-09,2.0476154e-09,4.9646176e-05,2.2908555e-09,8.4366736e-10
RBM43,3.7741543e-06,2.2686309e-06,8.571923e-09,1.2343463e-06,2.2897605e-06,8.059518e-06,9.71655e-07,5.574493e-06
SUMO3,6.0453066e-11,0.0015644524,9.59725e-11,3.2064094e-11,1.2334213e-10,5.29575e-11,1.420572e-10,7.358748e-11
IMMP2L,0.00012319238,3.2544285e-09,8.198081e-09,6.4473476e-05,2.8809881e-09,0.003189584,3.5838683e-09,2.6920328e-09
FMNL1,3.4672103e-05,3.3563954e-10,1.8864697e-10,1.3241995e-10,2.8522218e-10,8.091643e-11,3.4881023e-10,1.6884422e-10
WT1,2.7813942e-09,2.7282892e-09,6.7411493e-10,1.6510693e-07,5.8897616e-09,2.4825664e-10,3.219134e-09,1.051392e-05
ZFP90,0.00011867888,4.6630966e-09,4.771731e-09,6.3679468e-06,4.0989683e-09,0.000113239854,4.4646478e-09,2.2157198e-09
FAM227A,7.7199264e-10,3.582968e-08,5.1790328e-05,3.4231152e-07,3.9263864e-06,4.3660522e-05,2.1843086e-08,3.4709963e-08
MUC6,6.181507e-11,1.4203363e-10,9.902882e-11,0.0007190177,1.2688273e-10,5.6693428e-11,1.4632301e-10,7.52375e-11
USP18,1.1436613e-05,2.2965157e-06,2.1907063e-05,5.074248e-07,2.877928e-06,2.8267812e-06,3.0360297e-06,2.5333722e-09
NDUFA6,6.1498834e-11,1.3962079e-10,9.692135e-11,3.247214e-11,1.2468397e-10,5.3730957e-11,0.0036209326,7.435472e-11
SORCS2,9.934425e-06,1.2346648e-05,6.5643067e-06,5.7877287e-06,1.9285202e-05,1.9794049e-08,1.4671421e-05,6.385751e-05
TMEM106A,4.4277247e-05,4.8341735e-06,2.532322e-05,2.802326e-06,4.009268e-06,2.2175105e-05,6.4102455e-06,8.3754475e-07
SIVA1,6.05909e-11,0.0026476774,9.602378e-11,3.206819e-11,1.233466e-10,5.2791296e-11,1.420152e-10,7.351383e-11
BRI3BP,2.685379e-05,1.7710256e-06,6.390984e-05,5.032937e-06,1.223376e-06,5.8780593e-06,9.13459e-08,9.1626046e-10
ROBO2,1.4132328e-05,1.3340994e-06,1.6617876e-05,7.543944e-06,9.52584e-06,6.299887e-05,1.6914206e-06,8.526543e-05
AP3M1,3.973179e-05,2.6773829e-05,1.397437e-05,1.8251914e-05,2.8662978e-06,9.024455e-05,3.8558246e-05,1.0644932e-06
F8,2.4072271e-05,2.774722e-06,6.095189e-06,9.513147e-10,1.5698333e-08,3.258777e-05,2.9159037e-06,5.9614056e-05
CA13,4.8420207e-10,4.8372693e-09,7.5255884e-05,6.9343403e-10,4.7876023e-09,2.1807818e-05,6.5753176e-09,1.1847457e-09
BRF1,7.824613e-05,9.806361e-08,3.062462e-05,2.4901688e-06,2.686812e-08,5.502295e-05,4.241955e-06,2.61103e-05
