topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
CXCL13,LRRFIP1,TCF7L2,HSP90AB1,REXO2,YAF2,HDAC2,HIF1A
TNFAIP3,M6PR,FAM204A,RGCC,UPF2,GOLIM4,TMEM134,FAM162A
GAMT,AAMDC,MRPS35,PPIB,EIF4EBP1,GRSF1,ERICH1,QSOX1
USP34,MFF,LAMB1,APP,ATP6V1E1,MAPRE1,NASP,TIMP2
SAMSN1,CCT7,SLC38A10,CD9,NUCB1,OSTF1,DCTN6,CTSZ
UBE2D1,RSF1,SMARCB1,TMBIM6,UBALD2,PDHA1,MRPS18C,CNN3
SH3KBP1,PPP1R12A,RARRES1,PSMA7,MAP1LC3B,ANXA9,POLR2E,LAMP2
EPSTI1,TSG101,TOP1,ATPIF1,MANF,CCS,AZIN1,EPHX1
USP48,CRYZ,SP110,VMP1,CCDC80,COPG1,CLNS1A,BHLHE40
RNF145,TPM3,GORASP2,SNRPD2,NOSIP,CDC123,HAX1,CTTN
TFDP1,SUMO3,OARD1,ATP1B1,STAU1,LAMC1,APOL1,CELA2B
CASC3,DST,PSMD1,SEPW1,PRKCSH,CHD4,ITGB2,LSM4
WAC,VDAC3,TDG,CDC42,ZFAND6,SPTLC1,SET,PON2
GNS,CDV3,C1orf198,NDUFA3,PAIP1,ATXN10,KARS,PPP1CA
ARL8B,C1D,PEF1,ANXA1,FBLN1,PFN2,JAK1,ISG20
PPP6R3,HTRA1,NTPCR,SNX3,LARP7,CCDC90B,GANAB,EIF3M
MANBAL,EPS8,SNAPIN,DDX17,HDAC1,RGS3,SNF8,C1QBP
RNF128,IVNS1ABP,PDLIM3,GATM,GOLM1,MAGED1,PTP4A1,NECTIN2
SORBS3,MRPS33,SEPT10,HNRNPC,PSMC6,MVB12A,SF3B1,UQCRC1
CHD1,TMED3,ISCA1,SNRPG,STAT1,MICU2,TMEM9B,COL15A1
GOLGA2,CNIH4,FNBP4,ID2,RAD21,ZBTB16,LGMN,LSM8
ITGAE,LIMS1,EIF3B,ERH,TGIF1,ANXA10,EIF3I,BRD2
RPA2,UBE2L6,SNX1,A2M,PLXNB2,SEMA3B,GOLGB1,WWTR1
IL13RA1,ADI1,CYB5B,C19orf53,MGMT,PRPF39,TPRKB,CA4
TOX4,ZYX,EPS8L1,NAP1L1,FHL2,CCDC14,RNF11,TAF1D
UBAC2,MRPL24,GIPC1,YWHAZ,TCP1,ACSM3,FAM107B,GNB1
ZC3H7A,HSPH1,GRB2,CLDN4,IMP3,LAMA5,CASC4,SEPT9
PAN3,FSTL3,GBP2,ARF1,CTDSP2,ALKBH5,PTPRC,TOMM20
HCLS1,TEX264,FKBP9,PCBP2,BBX,F2RL1,STK24,CYP3A5
COPS2,VCP,PYM1,BRK1,ETS1,NCBP2,WDR13,LMAN1
G3BP2,FAIM,TPD52L2,RBM39,CD53,WDR74,MRPL13,RPN1
ELOVL5,FXR1,OSBPL1A,LGALS4,MRPS15,KCTD3,UBE2E1,FUS
NAP1L4,NME4,ZNF444,RTN4,SEC14L1,TLN1,MRPS14,EAPP
SFT2D2,ARPC5L,PIK3AP1,DAD1,C11orf58,C15orf52,UBE2V2,TPD52
MTA1,NFIB,WIPI2,ATP5B,HADHA,FTX,GRHPR,RBM47
PSMD12,HNMT,ADAR,CTSB,CAV2,VPS26A,EIF3A,CLTC
PHLDB1,TM2D1,KCNK1,PTGES3,CAMLG,COMMD4,OFD1,SPINT1
FRA10AC1,NELFE,SNX27,MYH9,BAG1,PIAS1,FMC1,LSM6
BZW1,DDX6,NPEPPS,NDUFB9,OSBPL9,TMED4,SRP72,PLAUR
ZNRD1,PER1,DCAF7,ARHGDIB,FUNDC2,ITGB8,MAP1B,PHF14
KMT2C,SMARCA2,PRSS22,H3F3A,NPTN,MORN2,RNF167,CNDP2
CCSER2,MRPL3,UBE2J2,UBE2D3,SREK1IP1,PLLP,CREM,GHITM
SHOC2,CXCL16,DNTTIP1,CHCHD10,YTHDF2,PBX3,EPHB6,IDH2
TCF12,DDRGK1,EZR,PDIA3,EIF4G1,THAP4,SCPEP1,RAMP3
RUVBL2,UPP1,LRRFIP2,SH3YL1,TGFBI,CPQ,HACD3,DNAJC19
TNFAIP8,OTUB1,CALCOCO1,ANAPC16,PNPLA2,WWC1,DNAJC1,SERINC2
ATF7IP,TSPAN4,SULT1C2,KTN1,MRPL22,CDH5,NUMA1,TM9SF2
UROS,ALDH3A2,PSMD11,RPS4Y1,FAM3B,BPTF,PCMT1,DAP
UBA3,CCNL2,TMPRSS4,OCIAD2,MCTS1,RIDA,SRP54,BCL2L1
TTYH3,CDC26,PYGB,LGALS3BP,MRPL47,DDAH1,ATN1,OAZ2
SMAP2,TSEN34,SRSF8,SDCBP,NDUFA8,NEURL3,CDKN1C,CFH
SDHAF3,MGAT1,GRB10,ZFP36L2,SNHG16,ZNF33A,SPAG16,CHP1
NDUFS1,CLSTN1,FGD4,YWHAB,ARL1,SLC16A7,FOXO3,MALL
ZDHHC7,BIRC2,ZMIZ1,TMED10,GLG1,TSPAN15,MARCH6,S100A2
TUG1,TAF15,HADH,ARPC5,SLC38A2,MIR4435-2HG,AHI1,FRG1HP
PPP3CA,HNRNPUL1,MAPKAPK2,SRP9,KLF9,ADNP,RSL1D1,PFDN1
MCUB,RBM42,JAM2,AMY2B,CMC1,NOTCH2,MAT2B,FLNB
MMRN2,NRDC,CAB39,MRPL20,SARS,ATG12,LGALS9,FAM129B
SPIDR,JOSD2,QDPR,ERRFI1,ITGB1BP1,TFDP2,PLIN2,TFG
SCAMP3,PALLD,FAM134C,PGK1,KLF5,DRG1,EIF2S3,SPG21
PDE5A,ZNF638,DOCK9,SEPT7,CD36,LYRM2,HMGN4,HNRNPH3
USP11,PQBP1,FNBP1L,ANAPC11,SMC3,RBM17,CHD6,IST1
AP1S2,DPYSL2,PPP1R2,CAPN12,FEZ2,EIF2S1,SLBP,RCN2
SORT1,DBNL,CBWD1,MUC6,ARID4B,BRD7,SNRPA1,ZNF207
TBC1D1,ATG3,PLEKHA5,EIF3L,NSMCE1,COQ8A,SEL1L3,PLAC8
DCK,PPA2,UAP1,GSTO1,ASNA1,ASXL1,MYO1C,SYNPO
SMCHD1,VPS35,SERINC3,HNRNPA3,LAPTM4B,NEDD4L,CDC42EP5,DDR1
KDM2A,SLC35F5,GMDS,PCSK5,AHCYL1,NT5C2,GLRX5,AIMP1
EXOSC1,HSD17B2,TBC1D4,N4BP2L2,GLS,WARS,DERL1,RAB25
NUDT2,ABCF1,SYNCRIP,ENY2,LAD1,DCAF6,FBXO7,STOM
TBPL1,SGCE,ASL,FCER1G,BACE2,SEPN1,FLT1,NCOA7
SF3B3,SUCLG2,PTPN18,COX7A2L,SPTAN1,SKA2,CD58,TAOK3
DAPK3,CMTM6,SNX4,CD320,CAPRIN1,TLE1,CHID1,FAM200B
ST6GAL1,EMP2,NELFCD,SH3BGRL,CCAR1,PDPK1,TNFAIP2,MFGE8
FAM208B,RP11-532F12.5,TMCO3,SRSF7,OGT,POGZ,C1orf54,CHD2
N4BP2L1,NOP58,TMEM126B,REEP5,POR,CFAP221,TMEM120A,EFHD2
PIP4K2A,TMEM173,USP47,FKBP8,MPRIP,PRPF6,CLCN3,PTRF
PBRM1,NUDC,PLEKHB2,MGST2,ADIPOR1,RP1-60O19.1,THOC7,FGGY
CTNNBIP1,GLRX3,URM1,LYZ,CXXC5,IMMP2L,STT3B,DNAJB6
RUNX1,DENR,PSIP1,LAMP1,PKIG,PPFIBP1,IRF2,DPM1
ARSD,TSC22D4,SULF2,HNRNPF,ABHD12,PBDC1,QTRT1,PTOV1
BIRC6,PTPRF,SUCLA2,NDUFS6,RPL26L1,TRA2A,SURF1,SNX6
SLC12A2,UTRN,GBP1,SERBP1,CDIPT,ABCA5,RBMS1,COPB1
SNRNP40,RAB5A,EFR3A,SERPINA5,AK2,AMFR,LINC00671,RTN3
NDFIP1,TROVE2,CXADR,SEPT2,PARP1,ZFR,PQLC3,NMT1
ARHGEF3,MTCH2,CBFB,COL6A2,BCL7C,PREPL,ITFG1,METTL5
SMAP1,HPRT1,KDM5B,RAB1A,LIPA,TNS3,SRA1,NDUFS2
PHACTR4,CBX5,GIGYF2,OCIAD1,CXCL12,AFTPH,ADD3,SEC61A1
DNMT1,SMIM4,ZMPSTE24,CTNNA1,PDXDC1,ZMYND11,CFAP36,DHRS3
RNF44,SWAP70,ARHGEF40,SRRM1,AC078941.1,UBE2Z,TRIM8,ELF1
ZC3H13,TRAPPC4,SLC35B1,PPIG,PSMD14,TUBB6,EMCN,MPC1
GRK2,VBP1,GAK,YBX3,KLHDC2,SVIL,SLC2A1,ABRACL
OSMR,BAZ2B,MSMO1,CCNI,USP16,PTPN2,FBXL5,RNF130
AC092580.4,PSMD6,COBLL1,RSRP1,STAG2,HNF1B,ITGB5,RBBP7
CRK,APPL1,EVA1C,HNRNPU,GABRP,RPRD1A,CACYBP,GLO1
PRKAA1,USP8,MYO1E,KMT2E,CTNND1,SOX4,RAB11FIP1,TGM2
PRKCH,UPF3A,TMEM43,EMP3,PPM1G,DCDC2,SAR1B,PDLIM7
MTHFD2L,ACADM,LYRM1,ALDH1A1,SUGT1,TLK1,COQ4,OPTN
CTNNBL1,CYS1,NUB1,CBX3,HNRNPAB,DAPL1,LPCAT4,VGLL4
ACOT13,TNFRSF21,OLA1,TOB1,PRPF31,BOD1L1,CAPN8,IGBP1
PRDM2,F3,ZNF330,AKAP13,PAFAH1B1,CLIP1,PPHLN1,AAMP
C14orf159,BOLA3,CHKA,MYDGF,MRPS18B,PEPD,METTL23,COPZ1
MKLN1,PARP14,RHEB,HNRNPD,ZMYM2,MEIS2,SPPL2A,CISD2
RAF1,CNOT2,CHURC1-FNTB,SBDS,SSR1,TMEM33,NAA50,FAM96A
HDAC5,SORL1,ST5,H2AFY,LHFP,GMPR,USP15,MRPS7
CHORDC1,PWP1,TRAP1,CD47,CSNK1D,PRKAR2B,RIOK3,EIF4E2
ARHGAP15,PUM1,UBE2H,TACC1,GNG12,NR2F2,MRPL15,CD2
ALCAM,LGALS2,SMIM14,EIF6,ARRDC3,KLF6,SERPINE1,AGRN
SIPA1L1,HSF1,TC2N,H2AFV,ERCC1,MAGI1,ACAP2,LTBR
MCF2L,DERL2,MYCBP2,GDI2,IAH1,FARP1,GCA,USP53
EHBP1,COPB2,TMEM161B-AS1,TTC3,ZFAND3,PDCD6IP,MED29,CHMP2B
PPP4R1,AFF4,SEMA4B,SP100,POMP,PCDH17,TTC17,MYO1B
HMCES,SCNN1A,ARFIP1,XRCC5,EMG1,RAB17,SRM,ADD1
ACAP1,NEDD9,CXCL5,XRCC6,FDPS,KMT2A,PSMG3,SUN1
GBP3,CUEDC2,NUAK2,ACTR2,HDAC7,BFAR,RSRC1,HSPG2
FCGBP,MPP1,MAP4K4,PTTG1IP,RNF149,CBWD5,SENP6,MGEA5
FNBP1,LCP1,SPI1,RPN2,ERBB3,IL4R,CHMP5,KIAA1522
DMTF1,MAP2K2,FBXO3,CPE,ECE1,PRPF8,HAGH,PPP2CB
FBLIM1,DCTD,CTDSPL,MAL2,DNM2,ACTN4,CALU,IL1R1
ZNF106,MARCH7,MPPE1,PPP4C,ANXA6,SYNGR1,CRTAP,GBAS
MAN1A1,WDR34,NOL3,CAPN2,SHARPIN,SELENBP1,ZNHIT3,ARHGEF12
NUP54,SCFD1,SUGP2,CD46,SPIN1,WDR82,HIPK2,SDF2
IARS2,IRF2BP2,MYO1D,COL4A2,BAG6,HS6ST1,NTN4,CLIC4
PAK4,CELF1,ILKAP,TBCB,HMOX2,BCCIP,CSTF3,AHR
STK4,WBSCR22,PCMTD2,EIF3D,YME1L1,PDGFC,HIBADH,RNF19A
SKI,RNF213,ALDH2,GCC2,DNAJA1,CDC42EP4,INPP1,SLC44A2
PRPF4B,COPRS,NISCH,PRMT1,RB1,DAG1,DIAPH1,GPBP1
SEPP1,GJA1,SYNRG,RAB2A,CLPTM1,LINC00342,DEGS1,STK17A
ITGA1,ACYP1,NUP107,GNAI2,SFPQ,WAPL,SPG11,VEZT
SEC23B,IDH1,SIRT7,SRSF10,SECISBP2,PRCC,TAF12,BUB3
CNOT6L,ATP2B4,NREP,NUCKS1,FAM136A,CADM1,SF3A2,C5orf15
GRB7,SLC44A4,UBE2N,PGAM1,TTC37,CPSF6,FBP1,HPCAL1
CYB5R1,MTX2,STEAP2,FAM133B,SQRDL,FAM234A,DGCR2,LAMB3
PPP6R1,SEPT11,SETD7,RHOBTB3,CLPP,RAB20,FAM13A,PIN4
APPL2,FAM192A,RFXANK,ATRX,ACO2,PLD1,ANO6,PIH1D1
USP36,PTPRG,MACROD2,PPP2R1A,COPS5,TRNP1,AP3S1,RFC1
