,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15
MEOX1,6.211503e-11,3.431471e-10,3.4040917e-10,5.624186e-10,8.363374e-10,1.5070772e-10,3.0408803e-10,3.5966788e-10,4.4008383e-10,8.273809e-10,2.6300867e-10,3.4446124e-10,5.7083727e-11,3.2775505e-10,1.4699912e-10,6.29383e-10
THSD7A,6.211503e-11,3.431484e-10,3.4035205e-10,0.0005784314,8.363438e-10,1.5069307e-10,3.040799e-10,3.5966788e-10,4.4008297e-10,8.273336e-10,2.6300867e-10,3.444599e-10,5.7083612e-11,3.3814104e-10,1.4699857e-10,6.293794e-10
LIG3,6.211503e-11,3.435787e-10,3.5384667e-10,4.267001e-10,8.989687e-10,1.5070858e-10,3.0494357e-10,3.6113895e-10,4.5510182e-10,8.810448e-10,2.630157e-10,3.459453e-10,5.722697e-11,3.3314446e-10,1.4699969e-10,6.47283e-10
RPAP3,6.211503e-11,3.4314904e-10,0.0008755841,4.2454634e-10,8.3627516e-10,1.5071634e-10,3.040799e-10,3.5966788e-10,4.4008297e-10,8.2735563e-10,2.6300967e-10,3.4446057e-10,5.7083612e-11,3.9232004e-10,1.4699912e-10,6.293854e-10
ACSM3,6.211503e-11,3.4314185e-10,3.4035205e-10,4.2454232e-10,8.363422e-10,1.5071865e-10,3.0408454e-10,3.5966788e-10,4.4008297e-10,8.273683e-10,2.6300867e-10,3.4446124e-10,5.7083612e-11,3.2773004e-10,0.00059657963,6.293794e-10
CIAPIN1,6.211503e-11,3.431471e-10,3.4035205e-10,4.2454232e-10,8.364204e-10,1.5072181e-10,3.040538e-10,3.5966788e-10,0.001661081,8.273699e-10,2.6300767e-10,3.444599e-10,5.7083612e-11,3.276675e-10,1.4699912e-10,6.293854e-10
FAM214B,6.211503e-11,3.4315037e-10,3.5867317e-10,4.661956e-10,8.366166e-10,1.5071892e-10,3.041089e-10,3.5967473e-10,4.799641e-10,8.307079e-10,2.6302624e-10,3.4446845e-10,5.7089278e-11,3.277494e-10,1.4699969e-10,6.293986e-10
COPZ2,6.211503e-11,3.4315428e-10,3.40378e-10,4.4069867e-10,8.367682e-10,1.5071892e-10,3.0408975e-10,3.596761e-10,4.4008383e-10,8.322383e-10,2.630147e-10,3.4446582e-10,5.7083834e-11,3.5456346e-10,1.4699912e-10,6.3009886e-10
PRKAR2B,6.211503e-11,0.002532812,3.4035205e-10,4.2454634e-10,8.3645063e-10,1.507172e-10,3.0407005e-10,3.5966788e-10,4.4008214e-10,8.273115e-10,2.6300967e-10,3.4445857e-10,5.7083612e-11,3.277238e-10,1.4699857e-10,6.2938177e-10
CREBBP,6.211503e-11,3.4315104e-10,3.9461803e-10,4.410182e-10,8.3635493e-10,1.5071003e-10,3.0408803e-10,3.5966788e-10,4.4008214e-10,8.2732887e-10,2.6300867e-10,3.444599e-10,5.7083612e-11,3.8312234e-10,1.4699857e-10,0.0017760042
TSPOAP1,6.211503e-11,3.431484e-10,3.468584e-10,4.2454473e-10,8.363533e-10,1.507172e-10,3.0408454e-10,3.5966788e-10,4.4008297e-10,8.273588e-10,2.6300767e-10,3.4446188e-10,5.7083727e-11,6.3676955e-05,1.4699912e-10,6.2938654e-10
GCFC2,6.211503e-11,3.4314904e-10,4.026945e-10,4.4153664e-10,8.364331e-10,1.5070628e-10,3.0407643e-10,3.5966788e-10,4.4008297e-10,8.273478e-10,2.6300917e-10,3.4446124e-10,5.7083727e-11,0.0008427524,1.4699912e-10,6.29383e-10
WDR54,6.2115264e-11,3.4325315e-10,4.216412e-10,4.492647e-10,1.1197666e-09,1.5071779e-10,3.0484879e-10,3.6209977e-10,4.4702606e-10,1.0086173e-09,2.6301872e-10,3.4679026e-10,5.7087533e-11,3.5807235e-10,1.4700362e-10,6.843299e-10
CROT,6.2115965e-11,3.475995e-10,3.705524e-10,4.2815285e-10,1.1198436e-09,1.5070427e-10,3.0545466e-10,3.6506573e-10,4.756254e-10,1.0705982e-09,2.630167e-10,3.4940284e-10,5.724476e-11,3.5991218e-10,1.4700025e-10,7.0593975e-10
ABCB4,6.211503e-11,3.431484e-10,3.4443493e-10,4.2470186e-10,8.363677e-10,1.5070772e-10,3.0405495e-10,3.5966788e-10,4.4008214e-10,8.273446e-10,2.6300967e-10,3.444599e-10,5.7083612e-11,3.2777506e-10,1.4699857e-10,6.2938416e-10
